Metrics/EpRet,Metrics/EpCost,Metrics/EpLen,Metrics/TestEpRet,Metrics/TestEpCost,Metrics/TestEpLen,Train/Epoch,Train/LR,TotalEnvSteps,Loss/Loss_pi,Loss/Loss_pi/Delta,Loss/Loss_reward_critic,Loss/Loss_reward_critic/Delta,Value/reward_critic,Loss/Loss_cost_critic,Loss/Loss_cost_critic/Delta,Value/cost_critic,Time/Total,Time/Rollout,Time/Update,Time/Evaluate,Time/Epoch,Time/FPS,Value/alpha,Metrics/LagrangeMultiplier
-2.884340286254883,0.0,1000.0,0.0670754536986351,0.0,1000.0,0.0,4.999999873689376e-06,2000.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,10.724471092224121,4.985480308532715,0.03944897651672363,5.69625186920166,10.724467277526855,186.48947143554688,1.000000429485226e-05,0.0
-2.2458088397979736,35.5,1000.0,-2.0224342346191406,8.0,1000.0,1.0,4.999999873689376e-06,4000.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,19.500499725341797,5.110579490661621,0.04123115539550781,3.610276222229004,8.765515327453613,228.1668701171875,1.000000429485226e-05,0.0
-2.427910089492798,33.0,1000.0,-3.0393149852752686,6.0,1000.0,2.0,4.999999873689376e-06,6000.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,28.375139236450195,4.823441505432129,0.03785061836242676,4.002514839172363,8.866862297058105,225.55897521972656,1.000000429485226e-05,0.0
-2.50423526763916,43.25,1000.0,-2.9191999435424805,4.5,1000.0,3.0,4.999999873689376e-06,8000.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,37.354087829589844,5.173325538635254,0.04870104789733887,3.7457752227783203,8.971485137939453,222.92855834960938,1.000000429485226e-05,0.0
-2.498159885406494,34.599998474121094,1000.0,-3.3037261962890625,7.0,1000.0,4.0,4.999999873689376e-06,10000.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,47.1804084777832,5.990741729736328,0.03811168670654297,3.785707712173462,9.817797660827637,203.71170043945312,1.000000429485226e-05,0.0
-3.5938329696655273,28.83333396911621,1000.0,-7.836891174316406,5.833333492279053,1000.0,5.0,4.999999873689376e-06,12000.0,0.0576338917016983,0.0576338917016983,0.0011529432376846671,0.0011529432376846671,-0.05823999270796776,0.006172380410134792,0.006172380410134792,-0.04995063319802284,385.6095275878906,14.250892639160156,317.34869384765625,6.808449745178223,338.4225769042969,5.909770965576172,1.000000429485226e-05,0.0
-5.465075969696045,24.714284896850586,1000.0,-6.4535040855407715,5.0,1000.0,6.0,4.999999873689376e-06,14000.0,0.04939743131399155,-0.008236460387706757,0.00015397740935441107,-0.000998965828330256,-0.051031023263931274,0.005325792822986841,-0.0008465875871479511,0.06540760397911072,763.5980834960938,15.689391136169434,355.55267333984375,6.7162933349609375,377.97637939453125,5.2913360595703125,1.000000429485226e-05,0.0
-4.769990921020508,21.625,1000.0,-5.643770694732666,4.375,1000.0,7.0,4.999999873689376e-06,16000.0,0.056885380297899246,0.0074879489839077,0.00011354027810739353,-4.043713124701753e-05,-0.05996175855398178,0.008842725306749344,0.0035169324837625027,0.17744669318199158,1157.4022216796875,14.985225677490234,371.85467529296875,6.930718421936035,393.79156494140625,5.078828811645508,1.000000429485226e-05,0.0
-4.196844577789307,19.22222137451172,1000.0,-5.104732990264893,33.88888931274414,1000.0,8.0,4.999999873689376e-06,18000.0,0.05619797855615616,-0.0006874017417430878,0.00010126100823981687,-1.2279269867576659e-05,-0.05981602519750595,0.010023345239460468,0.0011806199327111244,0.26896706223487854,1520.30322265625,14.7530517578125,339.5190734863281,8.594338417053223,362.88604736328125,5.511372089385986,1.000000429485226e-05,0.0
-3.55536150932312,43.79999923706055,1000.0,-4.655291557312012,66.5999984741211,1000.0,9.0,4.999999873689376e-06,20000.0,0.05346431955695152,-0.0027336589992046356,8.980347047327086e-05,-1.1457537766546011e-05,-0.057048432528972626,0.01670128107070923,0.00667793583124876,0.4048027992248535,1957.7271728515625,16.33030128479004,414.5020751953125,6.559658050537109,437.4107971191406,4.572360992431641,1.000000429485226e-05,0.0
