Metrics/EpRet,Metrics/EpCost,Metrics/EpLen,Train/Epoch,Train/Entropy,Train/KL,Train/StopIter,Train/PolicyRatio,Train/PolicyRatio/Min,Train/PolicyRatio/Max,Train/PolicyRatio/Std,Train/LR,Train/PolicyStd,TotalEnvSteps,Loss/Loss_pi,Loss/Loss_pi/Delta,Value/Adv,Loss/Loss_reward_critic,Loss/Loss_reward_critic/Delta,Value/reward,Loss/Loss_cost_critic,Loss/Loss_cost_critic/Delta,Value/cost,Time/Total,Time/Rollout,Time/Update,Time/Epoch,Time/FPS,Metrics/LagrangeMultiplier,Metrics/LagrangeMultiplier/Min,Metrics/LagrangeMultiplier/Max,Metrics/LagrangeMultiplier/Std
-1.380780577659607,50.45000076293945,1000.0,0.0,1.4144669771194458,0.017272401601076126,40.0,1.0010454654693604,1.0010454654693604,1.0010454654693604,0.019460635259747505,0.0002969999914057553,0.9955443739891052,20000.0,-0.017522534355521202,-0.017522534355521202,0.08900632709264755,0.004998406860977411,0.004998406860977411,-0.028605325147509575,1.318652868270874,1.318652868270874,-0.0028502140194177628,302.8926086425781,144.13587951660156,158.755859375,302.8918151855469,66.0301742553711,0.03599999099969864,0.03599999099969864,0.03599999099969864,0.0
-1.1157314777374268,78.82499694824219,1000.0,1.0,1.3944427967071533,0.020147928968071938,21.0,1.0011180639266968,1.0011180639266968,1.0011180639266968,0.021531356498599052,0.00029399999766610563,0.9758287668228149,40000.0,-0.019591543823480606,-0.002069009467959404,0.5733787417411804,0.0036589414812624454,-0.0013394653797149658,-0.043787043541669846,2.1382203102111816,0.8195674419403076,0.7757698893547058,488.6061096191406,106.48373413085938,79.1792221069336,185.66302490234375,107.7220458984375,0.0701540932059288,0.0701540932059288,0.0701540932059288,0.0
-0.48049724102020264,82.87999725341797,1000.0,2.0,1.3819997310638428,0.020606568083167076,17.0,0.9998083710670471,0.9998083710670471,0.9998083710670471,0.022175058722496033,0.000291000003926456,0.9637741446495056,60000.0,-0.02048698253929615,-0.0008954387158155441,0.678150475025177,0.004415060393512249,0.0007561189122498035,-0.013334318995475769,2.044928550720215,-0.0932917594909668,2.111765146255493,673.546630859375,104.7242660522461,80.18158721923828,184.90591430664062,108.16311645507812,0.1047130897641182,0.1047130897641182,0.1047130897641182,0.0
0.7899213433265686,80.4800033569336,1000.0,3.0,1.3640300035476685,0.020222004503011703,16.0,1.0001429319381714,1.0001429319381714,1.0001429319381714,0.020958390086889267,0.0002880000101868063,0.9465838074684143,80000.0,-0.018336448818445206,0.0021505337208509445,-0.26770177483558655,0.005376153159886599,0.0009610927663743496,0.007666078861802816,1.9920666217803955,-0.052861928939819336,4.958536148071289,843.9191284179688,105.03864288330078,65.29891967773438,170.33761596679688,117.41387176513672,0.13954100012779236,0.13954100012779236,0.13954100012779236,0.0
1.9122378826141357,64.58000183105469,1000.0,4.0,1.3453948497772217,0.020210817456245422,10.0,0.9995518326759338,0.9995518326759338,0.9995518326759338,0.021291237324476242,0.0002849999873433262,0.9291117191314697,100000.0,-0.017736388370394707,0.000600060448050499,0.3127294182777405,0.008991423062980175,0.0036152699030935764,0.0575222484767437,2.6175971031188965,0.625530481338501,4.692242622375488,983.8798217773438,102.32740783691406,37.597999572753906,139.92547607421875,142.9332275390625,0.17405441403388977,0.17405441403388977,0.17405441403388977,0.0
3.0026309490203857,65.23999786376953,1000.0,5.0,1.3150070905685425,0.020855888724327087,20.0,0.9996992349624634,0.9996992349624634,0.9996992349624634,0.021218767389655113,0.00028199999360367656,0.901309609413147,120000.0,-0.024114202708005905,-0.006377814337611198,0.09752902388572693,0.009464154951274395,0.00047273188829421997,0.10009593516588211,1.9247305393218994,-0.6928665637969971,3.3581464290618896,1166.0501708984375,101.09310150146484,81.04646301269531,182.1396484375,109.80586242675781,0.20840466022491455,0.20840466022491455,0.20840466022491455,0.0
4.136694431304932,58.31999969482422,1000.0,6.0,1.2937648296356201,0.02145537920296192,15.0,0.9994156360626221,0.9994156360626221,0.9994156360626221,0.020981768146157265,0.0002789999998640269,0.8823571801185608,140000.0,-0.022880233824253082,0.0012339688837528229,0.6273877620697021,0.010510910302400589,0.001046755351126194,0.17739704251289368,2.3216285705566406,0.3968980312347412,4.505276679992676,1322.6558837890625,100.33946228027344,56.227542877197266,156.56707763671875,127.74078369140625,0.2423281967639923,0.2423281967639923,0.2423281967639923,0.0
5.05358362197876,65.0,1000.0,7.0,1.2744005918502808,0.022982927039265633,15.0,1.0004198551177979,1.0004198551177979,1.0004198551177979,0.021505052223801613,0.00027600000612437725,0.865430474281311,160000.0,-0.026103246957063675,-0.0032230131328105927,-0.28711235523223877,0.012781485915184021,0.002270575612783432,0.21188844740390778,2.012448787689209,-0.30917978286743164,5.8360915184021,1478.876953125,99.87458801269531,56.309539794921875,156.1842041015625,128.05392456054688,0.2762579321861267,0.2762579321861267,0.2762579321861267,0.0
5.9039506912231445,67.54000091552734,1000.0,8.0,1.2595775127410889,0.020321113988757133,12.0,0.9994888305664062,0.9994888305664062,0.9994888305664062,0.020700782537460327,0.0002730000123847276,0.8526998162269592,180000.0,-0.025193165987730026,0.0009100809693336487,0.03925594314932823,0.012297796085476875,-0.0004836898297071457,0.25218233466148376,2.438762903213501,0.426314115524292,4.992160797119141,1625.5355224609375,100.63025665283203,45.9891357421875,146.6194610595703,136.4075469970703,0.3102988600730896,0.3102988600730896,0.3102988600730896,0.0
6.085984706878662,64.72000122070312,1000.0,9.0,1.2410101890563965,0.021042723208665848,16.0,0.9981683492660522,0.9981683492660522,0.9981683492660522,0.020744936540722847,0.0002699999895412475,0.8370094299316406,200000.0,-0.027593795210123062,-0.002400629222393036,0.07324516773223877,0.011625584214925766,-0.0006722118705511093,0.289797842502594,2.0571579933166504,-0.3816049098968506,6.052168846130371,1786.7294921875,100.41822052001953,60.7402458190918,161.15853881835938,124.10140228271484,0.34431856870651245,0.34431856870651245,0.34431856870651245,0.0
